id,species,lat,long,date_time,image_url
108306670,Anatis mali,48.6025747875,-86.2785597493,2019-08-08T10:18:00+00:00,https://inaturalist-open-data.s3.amazonaws.com/photos/182328238/square.jpeg
108261839,Anatis hydropica,19.6248605095,-101.3665101089,2022-02-28T14:07:48+00:00,https://static.inaturalist.org/photos/182244707/square.jpg
108158383,Anatis ocellata,54.7186403691,25.4880156771,2021-05-28T08:29:00+03:00,https://inaturalist-open-data.s3.amazonaws.com/photos/182049489/square.jpeg
108104158,Anatis mali,46.7884173091,-71.3365080632,,https://inaturalist-open-data.s3.amazonaws.com/photos/181949180/square.jpeg
108024912,Anatis mali,45.7840703577,-76.3983328886,2005-05-28T15:13:00-04:00,https://inaturalist-open-data.s3.amazonaws.com/photos/181797763/square.jpg
108020005,Anatis ocellata,57.3093510921,53.7211940648,2016-05-07T11:57:00+00:00,https://inaturalist-open-data.s3.amazonaws.com/photos/181787914/square.jpg
107664327,Anatis labiculata,43.242211,-81.875614,2018-06-19T14:04:00-07:00,https://static.inaturalist.org/photos/181124920/square.jpeg
107387395,Anatis labiculata,50.6711062853,-95.3793307168,2021-07-27T14:08:00-05:00,https://inaturalist-open-data.s3.amazonaws.com/photos/180602121/square.jpg
107323230,Anatis rathvoni,41.2072287818,-122.4283566834,2021-10-28T13:26:00-07:00,https://inaturalist-open-data.s3.amazonaws.com/photos/180481050/square.jpg
107321591,Anatis ocellata,40.729635,-4.1214519722,2022-02-05T13:55:16+01:00,https://static.inaturalist.org/photos/180478498/square.jpeg
107256187,Anatis ocellata,56.5901503558,84.9680092323,2015-07-20T11:48:00+00:00,https://inaturalist-open-data.s3.amazonaws.com/photos/180355671/square.jpg
107109044,Anatis ocellata,51.7763205198,85.7356160257,2011-05-20T16:24:00+07:00,https://static.inaturalist.org/photos/180079953/square.jpeg
106820045,Anatis ocellata,52.3361782598,20.6624512629,2010-05-18T14:40:00+00:00,https://inaturalist-open-data.s3.amazonaws.com/photos/179529984/square.jpeg
106659842,Anatis ocellata,58.6577823642,37.2768600525,2017-05-24T15:17:00+00:00,https://inaturalist-open-data.s3.amazonaws.com/photos/179223621/square.jpeg
106600301,Anatis ocellata,58.657717441,37.27684735,2016-07-16T17:03:00+00:00,https://inaturalist-open-data.s3.amazonaws.com/photos/179107287/square.jpeg
106498709,Anatis ocellata,56.4363952466,38.7147346313,2021-06-12T12:02:00+03:00,https://inaturalist-open-data.s3.amazonaws.com/photos/178912645/square.jpeg
106490551,Anatis ocellata,53.8963875733,-2.4706644472,2022-02-10T12:56:05+00:00,https://static.inaturalist.org/photos/178897201/square.jpeg
106490008,Anatis ocellata,58.5033540562,37.2896852207,2014-06-05T09:05:00+00:00,https://inaturalist-open-data.s3.amazonaws.com/photos/178895418/square.jpeg
106449869,Anatis ocellata,62.2576218327,25.7122277566,2021-07-26T11:39:00+03:00,https://static.inaturalist.org/photos/178817916/square.jpeg
